"Tabela 1973 - Pessoas que frequentavam creche ou escola por nível de ensino, sexo e grupos de idade"
"Variável - Pessoas que frequentavam escola ou creche (Pessoas)"
"Brasil e Município";"Grupo de idade";"Ano x Nível de ensino ou curso que frequentavam x Sexo"
"Município";"Grupo de idade";"qtd_sup_10"
"Brasil e Município";"Grupo de idade";"Superior de graduação"
"Brasil e Município";"Grupo de idade";"Total"
"Rio Preto da Eva (AM)";"Total";"308"
"Santa Isabel do Rio Negro (AM)";"Total";"104"
"Santo Antônio do Içá (AM)";"Total";"128"
"São Gabriel da Cachoeira (AM)";"Total";"346"
"São Paulo de Olivença (AM)";"Total";"238"
"São Sebastião do Uatumã (AM)";"Total";"131"
"Silves (AM)";"Total";"53"
"Tabatinga (AM)";"Total";"1320"
"Tapauá (AM)";"Total";"140"
"Tefé (AM)";"Total";"1333"
"Tonantins (AM)";"Total";"96"
"Uarini (AM)";"Total";"126"
"Urucará (AM)";"Total";"37"
"Urucurituba (AM)";"Total";"81"
"Amajari (RR)";"Total";"35"
"Alto Alegre (RR)";"Total";"385"
"Boa Vista (RR)";"Total";"17207"
"Bonfim (RR)";"Total";"143"
"Cantá (RR)";"Total";"226"
"Caracaraí (RR)";"Total";"471"
"Caroebe (RR)";"Total";"288"
"Iracema (RR)";"Total";"173"
"Mucajaí (RR)";"Total";"443"
"Normandia (RR)";"Total";"104"
"Pacaraima (RR)";"Total";"205"
"Rorainópolis (RR)";"Total";"480"
"São João da Baliza (RR)";"Total";"229"
"São Luiz (RR)";"Total";"265"
"Uiramutã (RR)";"Total";"45"
"Abaetetuba (PA)";"Total";"2437"
"Abel Figueiredo (PA)";"Total";"74"
"Acará (PA)";"Total";"308"
"Afuá (PA)";"Total";"642"
"Água Azul do Norte (PA)";"Total";"39"
"Alenquer (PA)";"Total";"619"
"Almeirim (PA)";"Total";"354"
"Altamira (PA)";"Total";"2107"
"Anajás (PA)";"Total";"196"
"Ananindeua (PA)";"Total";"15249"
"Anapu (PA)";"Total";"341"
"Augusto Corrêa (PA)";"Total";"140"
"Aurora do Pará (PA)";"Total";"193"
"Aveiro (PA)";"Total";"66"
"Bagre (PA)";"Total";"273"
"Baião (PA)";"Total";"578"
"Bannach (PA)";"Total";"59"
"Barcarena (PA)";"Total";"1379"
"Belém (PA)";"Total";"59920"
"Belterra (PA)";"Total";"244"
"Benevides (PA)";"Total";"979"
"Bom Jesus do Tocantins (PA)";"Total";"184"
"Bonito (PA)";"Total";"146"
"Bragança (PA)";"Total";"1523"
"Brasil Novo (PA)";"Total";"162"
"Brejo Grande do Araguaia (PA)";"Total";"96"
"Breu Branco (PA)";"Total";"395"
"Breves (PA)";"Total";"1292"
"Bujaru (PA)";"Total";"138"
"Cachoeira do Piriá (PA)";"Total";"76"
"Cachoeira do Arari (PA)";"Total";"165"
"Cametá (PA)";"Total";"1860"
"Canaã dos Carajás (PA)";"Total";"455"
"Capanema (PA)";"Total";"788"
"Capitão Poço (PA)";"Total";"559"
"Castanhal (PA)";"Total";"3672"
"Chaves (PA)";"Total";"36"
"Colares (PA)";"Total";"74"
"Conceição do Araguaia (PA)";"Total";"1169"
"Concórdia do Pará (PA)";"Total";"391"
"Cumaru do Norte (PA)";"Total";"44"
"Curionópolis (PA)";"Total";"196"
"Curralinho (PA)";"Total";"495"
"Curuá (PA)";"Total";"141"
"Curuçá (PA)";"Total";"181"
"Dom Eliseu (PA)";"Total";"479"
"Eldorado do Carajás (PA)";"Total";"408"
"Faro (PA)";"Total";"86"
"Floresta do Araguaia (PA)";"Total";"235"
"Garrafão do Norte (PA)";"Total";"316"
"Goianésia do Pará (PA)";"Total";"244"
"Gurupá (PA)";"Total";"218"
"Igarapé-Açu (PA)";"Total";"464"
"Igarapé-Miri (PA)";"Total";"627"
"Inhangapi (PA)";"Total";"78"
"Ipixuna do Pará (PA)";"Total";"252"
"Irituia (PA)";"Total";"331"
"Itaituba (PA)";"Total";"1741"
"Itupiranga (PA)";"Total";"491"
"Jacareacanga (PA)";"Total";"119"
"Jacundá (PA)";"Total";"511"
"Juruti (PA)";"Total";"743"
"Limoeiro do Ajuru (PA)";"Total";"341"
"Mãe do Rio (PA)";"Total";"285"
"Magalhães Barata (PA)";"Total";"54"
"Marabá (PA)";"Total";"6224"
"Maracanã (PA)";"Total";"239"
"Marapanim (PA)";"Total";"134"
"Marituba (PA)";"Total";"1598"
"Medicilândia (PA)";"Total";"197"
"Melgaço (PA)";"Total";"289"
"Mocajuba (PA)";"Total";"452"
"Moju (PA)";"Total";"926"
"Monte Alegre (PA)";"Total";"714"
"Muaná (PA)";"Total";"291"
"Nova Esperança do Piriá (PA)";"Total";"252"
"Nova Ipixuna (PA)";"Total";"107"
"Nova Timboteua (PA)";"Total";"177"
"Novo Progresso (PA)";"Total";"328"
"Novo Repartimento (PA)";"Total";"397"
"Óbidos (PA)";"Total";"427"
"Oeiras do Pará (PA)";"Total";"433"
"Oriximiná (PA)";"Total";"857"
"Ourém (PA)";"Total";"221"
"Ourilândia do Norte (PA)";"Total";"197"
"Pacajá (PA)";"Total";"374"
"Palestina do Pará (PA)";"Total";"99"
"Paragominas (PA)";"Total";"1659"
"Parauapebas (PA)";"Total";"3188"
"Pau D'Arco (PA)";"Total";"78"
"Peixe-Boi (PA)";"Total";"72"
"Piçarra (PA)";"Total";"101"
"Placas (PA)";"Total";"112"
"Ponta de Pedras (PA)";"Total";"298"
"Portel (PA)";"Total";"787"
"Porto de Moz (PA)";"Total";"532"
"Prainha (PA)";"Total";"305"
"Primavera (PA)";"Total";"84"
"Quatipuru (PA)";"Total";"105"
"Redenção (PA)";"Total";"1784"
"Rio Maria (PA)";"Total";"303"
"Rondon do Pará (PA)";"Total";"615"
"Rurópolis (PA)";"Total";"455"
"Salinópolis (PA)";"Total";"239"
"Salvaterra (PA)";"Total";"261"
"Santa Bárbara do Pará (PA)";"Total";"157"
