"Tabela 3741 - Taxa de analfabetismo das pessoas de 10 a 17 anos de idade e Percentual de pessoas que não frequentavam escola na população de 10 a 17 anos de idade, por grupos de idade e situação de ocupação na semana de referência"
"Variável - Taxa de analfabetismo das pessoas de 10 a 17 anos de idade (%)"
"Município";"Situação de ocupação na semana de referência";"Ano x Grupo de idade"
"Município";"Situação de ocupação na semana de referência";"2010"
"Município";"Situação de ocupação na semana de referência";"Total"
"Manicoré (AM)";"Total";"8,8"
"Maraã (AM)";"Total";"11,8"
"Maués (AM)";"Total";"7,0"
"Nhamundá (AM)";"Total";"2,7"
"Nova Olinda do Norte (AM)";"Total";"7,8"
"Novo Airão (AM)";"Total";"10,1"
"Novo Aripuanã (AM)";"Total";"13,3"
"Parintins (AM)";"Total";"4,4"
"Pauini (AM)";"Total";"25,9"
"Presidente Figueiredo (AM)";"Total";"3,7"
"Rio Preto da Eva (AM)";"Total";"6,9"
"Santa Isabel do Rio Negro (AM)";"Total";"36,1"
"Santo Antônio do Içá (AM)";"Total";"17,4"
"São Gabriel da Cachoeira (AM)";"Total";"5,5"
"São Paulo de Olivença (AM)";"Total";"11,6"
"São Sebastião do Uatumã (AM)";"Total";"3,2"
"Silves (AM)";"Total";"3,4"
"Tabatinga (AM)";"Total";"8,6"
"Tapauá (AM)";"Total";"19,4"
"Tefé (AM)";"Total";"5,3"
"Tonantins (AM)";"Total";"17,0"
"Uarini (AM)";"Total";"11,7"
"Urucará (AM)";"Total";"4,6"
"Urucurituba (AM)";"Total";"5,6"
"Amajari (RR)";"Total";"31,1"
"Alto Alegre (RR)";"Total";"37,7"
"Boa Vista (RR)";"Total";"1,9"
"Bonfim (RR)";"Total";"6,5"
"Cantá (RR)";"Total";"3,2"
"Caracaraí (RR)";"Total";"4,6"
"Caroebe (RR)";"Total";"1,8"
"Iracema (RR)";"Total";"18,1"
"Mucajaí (RR)";"Total";"4,9"
"Normandia (RR)";"Total";"4,6"
"Pacaraima (RR)";"Total";"5,4"
"Rorainópolis (RR)";"Total";"2,8"
"São João da Baliza (RR)";"Total";"2,9"
"São Luiz (RR)";"Total";"3,8"
"Uiramutã (RR)";"Total";"11,0"
"Abaetetuba (PA)";"Total";"5,0"
"Abel Figueiredo (PA)";"Total";"3,3"
"Acará (PA)";"Total";"17,1"
"Afuá (PA)";"Total";"16,0"
"Água Azul do Norte (PA)";"Total";"2,6"
"Alenquer (PA)";"Total";"7,2"
"Almeirim (PA)";"Total";"6,2"
"Altamira (PA)";"Total";"3,9"
"Anajás (PA)";"Total";"17,1"
"Ananindeua (PA)";"Total";"2,5"
"Anapu (PA)";"Total";"8,2"
"Augusto Corrêa (PA)";"Total";"8,8"
"Aurora do Pará (PA)";"Total";"11,5"
"Aveiro (PA)";"Total";"3,4"
"Bagre (PA)";"Total";"19,2"
"Baião (PA)";"Total";"10,4"
"Bannach (PA)";"Total";"6,2"
"Barcarena (PA)";"Total";"2,7"
"Belém (PA)";"Total";"2,2"
"Belterra (PA)";"Total";"3,4"
"Benevides (PA)";"Total";"2,9"
"Bom Jesus do Tocantins (PA)";"Total";"6,0"
"Bonito (PA)";"Total";"13,3"
"Bragança (PA)";"Total";"5,5"
"Brasil Novo (PA)";"Total";"2,9"
"Brejo Grande do Araguaia (PA)";"Total";"7,4"
"Breu Branco (PA)";"Total";"7,0"
"Breves (PA)";"Total";"15,9"
"Bujaru (PA)";"Total";"7,4"
"Cachoeira do Piriá (PA)";"Total";"18,8"
"Cachoeira do Arari (PA)";"Total";"9,1"
"Cametá (PA)";"Total";"5,8"
"Canaã dos Carajás (PA)";"Total";"4,5"
"Capanema (PA)";"Total";"5,8"
"Capitão Poço (PA)";"Total";"10,2"
"Castanhal (PA)";"Total";"2,9"
"Chaves (PA)";"Total";"19,7"
"Colares (PA)";"Total";"4,9"
"Conceição do Araguaia (PA)";"Total";"3,8"
"Concórdia do Pará (PA)";"Total";"9,0"
"Cumaru do Norte (PA)";"Total";"13,1"
"Curionópolis (PA)";"Total";"4,7"
"Curralinho (PA)";"Total";"17,1"
"Curuá (PA)";"Total";"8,7"
"Curuçá (PA)";"Total";"4,1"
"Dom Eliseu (PA)";"Total";"4,5"
"Eldorado do Carajás (PA)";"Total";"8,4"
"Faro (PA)";"Total";"4,5"
"Floresta do Araguaia (PA)";"Total";"5,2"
"Garrafão do Norte (PA)";"Total";"20,8"
"Goianésia do Pará (PA)";"Total";"9,6"
"Gurupá (PA)";"Total";"16,5"
"Igarapé-Açu (PA)";"Total";"7,5"
"Igarapé-Miri (PA)";"Total";"12,1"
"Inhangapi (PA)";"Total";"6,9"
"Ipixuna do Pará (PA)";"Total";"8,4"
"Irituia (PA)";"Total";"5,9"
"Itaituba (PA)";"Total";"3,2"
"Itupiranga (PA)";"Total";"12,3"
"Jacareacanga (PA)";"Total";"15,4"
"Jacundá (PA)";"Total";"3,3"
"Juruti (PA)";"Total";"3,4"
"Limoeiro do Ajuru (PA)";"Total";"8,7"
"Mãe do Rio (PA)";"Total";"4,6"
"Magalhães Barata (PA)";"Total";"4,8"
"Marabá (PA)";"Total";"3,9"
"Maracanã (PA)";"Total";"4,9"
"Marapanim (PA)";"Total";"5,1"
"Marituba (PA)";"Total";"2,8"
"Medicilândia (PA)";"Total";"5,3"
"Melgaço (PA)";"Total";"31,3"
"Mocajuba (PA)";"Total";"6,5"
"Moju (PA)";"Total";"12,8"
"Monte Alegre (PA)";"Total";"5,1"
"Muaná (PA)";"Total";"7,9"
"Nova Esperança do Piriá (PA)";"Total";"13,7"
"Nova Ipixuna (PA)";"Total";"6,3"
"Nova Timboteua (PA)";"Total";"6,7"
"Novo Progresso (PA)";"Total";"2,7"
"Novo Repartimento (PA)";"Total";"8,5"
"Óbidos (PA)";"Total";"7,2"
"Oeiras do Pará (PA)";"Total";"13,0"
"Oriximiná (PA)";"Total";"4,6"
"Ourém (PA)";"Total";"7,1"
"Ourilândia do Norte (PA)";"Total";"6,1"
"Pacajá (PA)";"Total";"9,6"
"Palestina do Pará (PA)";"Total";"6,6"
"Paragominas (PA)";"Total";"4,0"
"Parauapebas (PA)";"Total";"2,4"
"Pau D'Arco (PA)";"Total";"9,8"
"Peixe-Boi (PA)";"Total";"6,7"
"Piçarra (PA)";"Total";"7,0"
"Placas (PA)";"Total";"4,8"
"Ponta de Pedras (PA)";"Total";"6,7"
"Portel (PA)";"Total";"18,3"
"Porto de Moz (PA)";"Total";"19,1"
"Prainha (PA)";"Total";"13,0"
"Primavera (PA)";"Total";"10,1"
"Quatipuru (PA)";"Total";"11,9"
"Redenção (PA)";"Total";"3,0"
"Rio Maria (PA)";"Total";"2,6"
"Rondon do Pará (PA)";"Total";"4,2"
"Rurópolis (PA)";"Total";"5,5"
"Salinópolis (PA)";"Total";"2,7"
"Salvaterra (PA)";"Total";"4,0"
"Santa Bárbara do Pará (PA)";"Total";"2,4"
"Santa Cruz do Arari (PA)";"Total";"4,1"
"Santa Izabel do Pará (PA)";"Total";"4,0"
"Santa Luzia do Pará (PA)";"Total";"10,5"
"Santa Maria das Barreiras (PA)";"Total";"7,2"
"Santa Maria do Pará (PA)";"Total";"6,3"
"Santana do Araguaia (PA)";"Total";"3,8"
"Santarém (PA)";"Total";"1,7"
"Santarém Novo (PA)";"Total";"4,7"
"Santo Antônio do Tauá (PA)";"Total";"5,2"
"São Caetano de Odivelas (PA)";"Total";"6,6"
"São Domingos do Araguaia (PA)";"Total";"7,4"
"São Domingos do Capim (PA)";"Total";"11,2"
"São Félix do Xingu (PA)";"Total";"6,9"
"São Francisco do Pará (PA)";"Total";"5,9"
"São Geraldo do Araguaia (PA)";"Total";"6,2"
"São João da Ponta (PA)";"Total";"5,5"
"São João de Pirabas (PA)";"Total";"6,9"
"São João do Araguaia (PA)";"Total";"8,8"
"São Miguel do Guamá (PA)";"Total";"6,4"
"São Sebastião da Boa Vista (PA)";"Total";"8,3"
"Sapucaia (PA)";"Total";"4,5"
"Senador José Porfírio (PA)";"Total";"6,3"
"Soure (PA)";"Total";"4,3"
"Tailândia (PA)";"Total";"5,6"
"Terra Alta (PA)";"Total";"4,6"
"Terra Santa (PA)";"Total";"3,6"
"Tomé-Açu (PA)";"Total";"7,2"
"Tracuateua (PA)";"Total";"11,2"
"Trairão (PA)";"Total";"4,3"
"Tucumã (PA)";"Total";"1,9"
"Tucuruí (PA)";"Total";"3,0"
"Ulianópolis (PA)";"Total";"5,4"
"Uruará (PA)";"Total";"4,3"
"Vigia (PA)";"Total";"4,1"
"Viseu (PA)";"Total";"10,3"
"Vitória do Xingu (PA)";"Total";"5,1"
"Xinguara (PA)";"Total";"3,2"
"Serra do Navio (AP)";"Total";"0,5"
"Amapá (AP)";"Total";"5,1"
"Pedra Branca do Amapari (AP)";"Total";"10,2"
"Calçoene (AP)";"Total";"4,0"
"Cutias (AP)";"Total";"2,3"
"Ferreira Gomes (AP)";"Total";"6,8"
"Itaubal (AP)";"Total";"5,8"
"Laranjal do Jari (AP)";"Total";"5,0"
"Macapá (AP)";"Total";"2,9"
"Mazagão (AP)";"Total";"7,7"
"Oiapoque (AP)";"Total";"4,6"
"Porto Grande (AP)";"Total";"4,1"
"Pracuúba (AP)";"Total";"3,7"
"Santana (AP)";"Total";"3,0"
"Tartarugalzinho (AP)";"Total";"7,9"
"Vitória do Jari (AP)";"Total";"7,2"
"Abreulândia (TO)";"Total";"3,0"
"Aguiarnópolis (TO)";"Total";"3,8"
"Aliança do Tocantins (TO)";"Total";"1,1"
"Almas (TO)";"Total";"4,7"
"Alvorada (TO)";"Total";"1,6"
"Ananás (TO)";"Total";"1,9"
"Angico (TO)";"Total";"3,9"
"Aparecida do Rio Negro (TO)";"Total";"2,0"
"Aragominas (TO)";"Total";"5,0"
"Araguacema (TO)";"Total";"2,1"
"Araguaçu (TO)";"Total";"3,3"
"Araguaína (TO)";"Total";"1,6"
"Araguanã (TO)";"Total";"1,8"
"Araguatins (TO)";"Total";"3,8"
"Arapoema (TO)";"Total";"4,2"
"Arraias (TO)";"Total";"3,4"
"Augustinópolis (TO)";"Total";"1,9"
"Aurora do Tocantins (TO)";"Total";"3,6"
"Axixá do Tocantins (TO)";"Total";"3,6"
"Babaçulândia (TO)";"Total";"5,0"
"Bandeirantes do Tocantins (TO)";"Total";"5,0"
"Barra do Ouro (TO)";"Total";"4,7"
"Barrolândia (TO)";"Total";"4,9"
"Bernardo Sayão (TO)";"Total";"1,9"
"Bom Jesus do Tocantins (TO)";"Total";"3,8"
"Brasilândia do Tocantins (TO)";"Total";"0,4"
"Brejinho de Nazaré (TO)";"Total";"2,9"
"Buriti do Tocantins (TO)";"Total";"3,3"
"Cachoeirinha (TO)";"Total";"0,7"
"Campos Lindos (TO)";"Total";"5,8"
"Cariri do Tocantins (TO)";"Total";"2,7"
"Carmolândia (TO)";"Total";"3,6"
"Carrasco Bonito (TO)";"Total";"6,9"
"Caseara (TO)";"Total";"2,8"
"Centenário (TO)";"Total";"9,6"
"Chapada de Areia (TO)";"Total";"9,2"
"Chapada da Natividade (TO)";"Total";"1,0"
"Colinas do Tocantins (TO)";"Total";"2,6"
"Combinado (TO)";"Total";"1,5"
"Conceição do Tocantins (TO)";"Total";"3,7"
"Couto Magalhães (TO)";"Total";"3,9"
"Cristalândia (TO)";"Total";"1,2"
"Crixás do Tocantins (TO)";"Total";"3,8"
"Darcinópolis (TO)";"Total";"7,6"
"Dianópolis (TO)";"Total";"2,0"
"Divinópolis do Tocantins (TO)";"Total";"1,9"
"Dois Irmãos do Tocantins (TO)";"Total";"1,5"
"Dueré (TO)";"Total";"1,6"
"Esperantina (TO)";"Total";"3,8"
"Fátima (TO)";"Total";"2,0"
"Figueirópolis (TO)";"Total";"1,1"
"Filadélfia (TO)";"Total";"6,2"
"Formoso do Araguaia (TO)";"Total";"2,8"
"Tabocão (TO)";"Total";"2,9"
"Goianorte (TO)";"Total";"5,0"
"Goiatins (TO)";"Total";"7,9"
"Guaraí (TO)";"Total";"1,7"
"Gurupi (TO)";"Total";"1,6"
"Ipueiras (TO)";"Total";"6,1"
"Itacajá (TO)";"Total";"10,4"
"Itaguatins (TO)";"Total";"8,4"
"Itapiratins (TO)";"Total";"1,7"
"Itaporã do Tocantins (TO)";"Total";"2,4"
"Jaú do Tocantins (TO)";"Total";"2,2"
"Juarina (TO)";"Total";"-"
"Lagoa da Confusão (TO)";"Total";"10,2"
"Lagoa do Tocantins (TO)";"Total";"7,7"
"Lajeado (TO)";"Total";"1,7"
"Lavandeira (TO)";"Total";"2,3"
"Lizarda (TO)";"Total";"9,2"
"Luzinópolis (TO)";"Total";"2,1"
"Marianópolis do Tocantins (TO)";"Total";"4,9"
"Mateiros (TO)";"Total";"10,5"
"Maurilândia do Tocantins (TO)";"Total";"5,6"
"Miracema do Tocantins (TO)";"Total";"1,0"
"Miranorte (TO)";"Total";"1,8"
"Monte do Carmo (TO)";"Total";"4,7"
"Monte Santo do Tocantins (TO)";"Total";"1,1"
