Índice de Gini da renda domiciliar per capita segundo Município - Pará;;;
Período: 1991, 2000 e 2010;;;
150670 Santana do Araguaia;0,6258;0,6091;0,4721
150680 Santarém;0,5703;0,6199;0,5852
150690 Santarém Novo;0,6166;0,6085;0,5764
150700 Santo Antônio do Tauá;0,534;0,5133;0,531
150710 São Caetano de Odivelas;0,4112;0,4584;0,4889
150715 São Domingos do Araguaia;...;0,5726;0,5917
150720 São Domingos do Capim;0,5104;0,5564;0,6063
150730 São Félix do Xingu;0,5512;0,7193;0,6423
150740 São Francisco do Pará;0,5563;0,6359;0,4851
150745 São Geraldo do Araguaia;0,458;0,6244;0,532
150746 São João da Ponta;...;0,6727;0,5377
150747 São João de Pirabas;0,5285;0,6352;0,5875
150750 São João do Araguaia;0,5392;0,6122;0,5573
150760 São Miguel do Guamá;0,5044;0,5908;0,5323
150770 São Sebastião da Boa Vista;0,407;0,4933;0,546
150775 Sapucaia;...;0,478;0,5336
150780 Senador José Porfírio;0,5364;0,5929;0,5661
150790 Soure;0,6312;0,6051;0,5322
150795 Tailândia;0,6083;0,6166;0,5509
150796 Terra Alta;...;0,6135;0,5642
150797 Terra Santa;...;0,5575;0,5931
150800 Tomé-Açu;0,5404;0,6137;0,5456
150803 Tracuateua;...;0,5536;0,5873
150805 Trairão;...;0,5097;0,5605
150808 Tucumã;0,5657;0,6774;0,5445
150810 Tucuruí;0,5645;0,5839;0,5833
150812 Ulianópolis;...;0,7531;0,725
150815 Uruará;0,538;0,5875;0,5864
150820 Vigia;0,5145;0,6004;0,5139
150830 Viseu;0,4831;0,5901;0,6308
150835 Vitória do Xingu;...;0,6751;0,6065
150840 Xinguara;0,6366;0,6032;0,5722
Total;0,6206;0,6512;0,626
Fonte: IBGE/Censos Demográficos 1991, 2000 e 2010;;;
